,name,chapter,appeared,rolling_appearance
110312,Usopp,71,1,16.0
110443,Arlong,72,1,2.0
110689,Chew,72,1,2.0
110892,Genzo,72,1,2.0
111131,Kaneshiro,72,1,1.0
111219,Kuroobi,72,1,2.0
111417,Nami,72,1,8.0
111456,Nojiko,72,1,3.0
111525,Pisaro,72,1,1.0
111610,Roronoa Zoro,72,1,12.0
111867,Usopp,72,1,11.0
111998,Arlong,73,1,3.0
112244,Chew,73,1,3.0
112525,Hatchan,73,1,1.0
112774,Kuroobi,73,1,3.0
112915,Momoo,73,1,1.0
112922,Monkey D. Luffy,73,1,20.0
112972,Nami,73,1,10.0
113165,Roronoa Zoro,73,1,11.0
113200,Sanji,73,1,10.0
113422,Usopp,73,1,13.0
113493,Yosaku,73,1,1.0
113553,Arlong,74,1,3.0
113799,Chew,74,1,3.0
114080,Hatchan,74,1,2.0
114208,Johnny,74,1,1.0
114329,Kuroobi,74,1,3.0
114470,Momoo,74,1,2.0
114477,Monkey D. Luffy,74,1,18.0
114527,Nami,74,1,10.0
114635,Pisaro,74,1,2.0
114720,Roronoa Zoro,74,1,16.0
114755,Sanji,74,1,9.0
114977,Usopp,74,1,18.0
115048,Yosaku,74,1,2.0
115108,Arlong,75,1,3.0
115259,Chabo,75,1,1.0
115354,Chew,75,1,3.0
115557,Genzo,75,1,1.0
115635,Hatchan,75,1,3.0
115763,Johnny,75,1,2.0
115884,Kuroobi,75,1,3.0
116025,Momoo,75,1,3.0
116032,Monkey D. Luffy,75,1,21.0
116082,Nami,75,1,5.0
116121,Nojiko,75,1,1.0
116209,Pudding Pudding,75,1,1.0
116275,Roronoa Zoro,75,1,18.0
116310,Sanji,75,1,5.0
116372,Shioyaki,75,1,1.0
116443,Take,75,1,1.0
116603,Yosaku,75,1,3.0
117112,Genzo,76,1,2.0
117318,Johnny,76,1,3.0
117587,Monkey D. Luffy,76,1,22.0
117637,Nami,76,1,3.0
117660,Nezumi,76,1,1.0
117676,Nojiko,76,1,2.0
117830,Roronoa Zoro,76,1,13.0
117865,Sanji,76,1,3.0
118087,Usopp,76,1,17.0
118158,Yosaku,76,1,3.0
119142,Monkey D. Luffy,77,1,17.0
119192,Nami,77,1,3.0
119231,Nojiko,77,1,3.0
119385,Roronoa Zoro,77,1,9.0
119420,Sanji,77,1,3.0
119642,Usopp,77,1,10.0
119773,Arlong,78,1,1.0
119827,Bell-mère,78,1,1.0
120019,Chew,78,1,1.0
120222,Genzo,78,1,2.0
120300,Hatchan,78,1,1.0
120461,Kaneshiro,78,1,1.0
120549,Kuroobi,78,1,1.0
120746,Nako,78,1,1.0
120747,Nami,78,1,3.0
120786,Nojiko,78,1,3.0
120855,Pisaro,78,1,1.0
121328,Arlong,79,1,2.0
121382,Bell-mère,79,1,2.0
121574,Chew,79,1,2.0
121623,Daddy Dee,79,1,1.0
121777,Genzo,79,1,2.0
121855,Hatchan,79,1,2.0
122104,Kuroobi,79,1,2.0
122297,Mummy Mee,79,1,1.0
122301,Nako,79,1,2.0
122302,Nami,79,1,3.0
122341,Nojiko,79,1,3.0
122410,Pisaro,79,1,2.0
122883,Arlong,80,1,3.0
123332,Genzo,80,1,3.0
123410,Hatchan,80,1,3.0
123659,Kuroobi,80,1,3.0
123807,Monkey D. Luffy,80,1,20.0
123857,Nami,80,1,5.0
123880,Nezumi,80,1,1.0
123896,Nojiko,80,1,3.0
124050,Roronoa Zoro,80,1,17.0
124085,Sanji,80,1,2.0
124307,Usopp,80,1,18.0
124438,Arlong,81,1,3.0
124684,Chew,81,1,2.0
124887,Genzo,81,1,3.0
125093,Johnny,81,1,1.0
125214,Kuroobi,81,1,3.0
125362,Monkey D. Luffy,81,1,21.0
125411,Nako,81,1,2.0
125412,Nami,81,1,9.0
125435,Nezumi,81,1,2.0
125451,Nojiko,81,1,3.0
125605,Roronoa Zoro,81,1,20.0
125640,Sanji,81,1,3.0
125862,Usopp,81,1,20.0
125933,Yosaku,81,1,1.0
125993,Arlong,82,1,3.0
