,name,recent_freq,total_appearances,activity_score
1380,Uweshall Notpass,0.0,1,0.0003325942350332594
1381,Uzu,0.0,22,0.007317073170731707
1382,Uzuki Namida,0.0,1,0.0003325942350332594
1383,Uzuki Tempura,0.0,0,0.0
1384,Van Auger,0.05,24,0.04298226164079822
1385,Vander Decken,0.0,0,0.0
1386,Vander Decken IX,0.0,11,0.0036585365853658534
1387,Vasco Shot,0.04,10,0.03132594235033259
1388,Vegapants,0.0,0,0.0
1389,Vergo,0.0,16,0.005321507760532151
1390,Verree Finework,0.0,1,0.0003325942350332594
1391,Victimothy Crucifixio,0.0,1,0.0003325942350332594
1392,Victoria Broth Splatterina,0.0,0,0.0
1393,Victoria Cindry,0.0,12,0.003991130820399113
1394,Vincent,0.0,1,0.0003325942350332594
1395,Vinsmoke Ichiji,0.0,27,0.008980044345898004
1396,Vinsmoke Judge,0.02,28,0.023312638580931265
1397,Vinsmoke Niji,0.0,27,0.008980044345898004
1398,Vinsmoke Reiju,0.0,33,0.01097560975609756
1399,Vinsmoke Sora,0.0,0,0.0
1400,Vinsmoke Yonji,0.0,28,0.009312638580931265
1401,Viola,0.0,44,0.014634146341463414
1402,Vista,0.0,21,0.006984478935698447
1403,Vitan,0.0,1,0.0003325942350332594
1404,Vito,0.0,25,0.008314855875831485
1405,Wadatsumi,0.0,17,0.00565410199556541
1406,Wakasa,0.0,1,0.0003325942350332594
1407,Wallace,0.0,0,0.0
1408,Wallem,0.0,2,0.0006651884700665188
1409,Wanda,0.01,33,0.01797560975609756
1410,Wang Zhi,0.06,6,0.043995565410199555
1411,Wannabi Laikd,0.0,0,0.0
1412,Wannabi Luvd,0.0,0,0.0
1413,Wanyudo,0.0,2,0.0006651884700665188
1414,Wanze,0.0,5,0.0016629711751662971
1415,Wapol,0.06,28,0.05131263858093126
1416,Warashi,0.0,3,0.0009977827050997783
1417,Warazane,0.0,2,0.0006651884700665188
1418,Warney,0.0,5,0.0016629711751662971
1419,Warrior God,0.0,0,0.0
1420,Waruno Furishiro,0.0,1,0.0003325942350332594
1421,Wellington,0.0,1,0.0003325942350332594
1422,Wheel,0.01,3,0.007997782705099777
1423,Whitey Bay,0.0,5,0.0016629711751662971
1424,Who's-Who,0.0,15,0.004988913525498891
1425,Wicca,0.0,24,0.007982261640798226
1426,Wire,0.01,20,0.013651884700665189
1427,Wolf,0.01,1,0.007332594235033259
1428,Woop Slap,0.02,8,0.016660753880266076
1429,Wyper,0.01,33,0.01797560975609756
1430,X. Barrels,0.0,3,0.0009977827050997783
1431,X. Drake,0.02,43,0.02830155210643015
1432,Yama,0.0,6,0.0019955654101995565
1433,Yamakaji,0.0,6,0.0019955654101995565
1434,Yamanba,0.0,3,0.0009977827050997783
1435,Yamato,0.0,55,0.018292682926829267
1436,Yame,0.0,1,0.0003325942350332594
1437,Yamenahare,0.0,2,0.0006651884700665188
1438,Yamon,0.02,2,0.014665188470066518
1439,Yarisugi,0.0,2,0.0006651884700665188
1440,Yasopp,0.02,11,0.017658536585365852
1441,Yatappe,0.0,18,0.005986696230598669
1442,Yazaemon,0.0,2,0.0006651884700665188
1443,Yeti Cool Brothers,0.0,1,0.0003325942350332594
1444,Ylva,0.18,18,0.13198669623059867
1445,Yokan,0.0,1,0.0003325942350332594
1446,Yokozuna,0.0,33,0.01097560975609756
1447,Yomo,0.01,11,0.010658536585365853
1448,Yorki,0.0,1,0.0003325942350332594
1449,Yosaku,0.0,28,0.009312638580931265
1450,Yoshimoto,0.0,3,0.0009977827050997783
1451,Yotsubane,0.0,2,0.0006651884700665188
1452,Yu,0.0,1,0.0003325942350332594
1453,Yuey,0.02,3,0.014997782705099777
1454,Yuki,0.0,0,0.0
